Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP

"C10","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C12","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C13","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_L1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_L2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_L3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CN1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN2_L1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN2_L2","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN2_L3","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN3","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN5","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN6","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN7","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN8","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"IC6","LIC160","COM","","","","50","-20","27","","","","","",""
"IC4","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC5","LIC508","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC2","LIC541","","","","","","","","","","","","",""
"IC1_L1","LIC542","","","","","","","","","","","","",""
"IC1_L2","LIC542","","","","","","","","","","","","",""
"IC1_L3","LIC542","","","","","","","","","","","","",""
"IC3","LIC571","","","","","","","","","","","","",""
"R1","LRE026","COM","","0","0","50","-20","27","0","0","0","","",""
"R2","LRE026","COM","","0","0","50","-20","27","0","0","0","","",""
"R3","LRE026","COM","","0","0","50","-20","27","0","0","0","","",""
"R4","LRE026","COM","","0","0","50","-20","27","0","0","0","","",""
"R10","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R11","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R12","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R13","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R14","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R6_L1","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R6_L2","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R6_L3","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R9","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R7","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R8","LRE037","COM","","0","0","50","-20","27","0","0","0","","",""
"R15","LRE058","COM","","0","0","50","-20","27","0","0","0","","",""
"R16","LRE058","COM","","0","0","50","-20","27","0","0","0","","",""
"R5_L1","LRE190","COM","","0","0","155","-55","27","0","0","150","","",""
"R5_L2","LRE190","COM","","0","0","155","-55","27","0","0","150","","",""
"R5_L3","LRE190","COM","","0","0","155","-55","27","0","0","150","","",""
