Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C10","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C12","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C13","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C14","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C15","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C17","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C18","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C19","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C20","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C22_BL1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C22_BL2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C24","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C25","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C27","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C28","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C29","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C30","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C31","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C32","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C33","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C34","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C35","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C36_L1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C36_L2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C36_L3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C37","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C38","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C39","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
