Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP

"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C10","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C12","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C13","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C14","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C15","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C16","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C17","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C18","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C22_M1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C22_M2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C22_M3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C22_M4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C21_M1","LCA019","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C21_M2","LCA019","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C21_M3","LCA019","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C21_M4","LCA019","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C23_M1","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C23_M2","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C23_M3","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C23_M4","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CN1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN2","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN3","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN4","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN5","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN6","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN7","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"D1","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0"
"D2","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0"
"D3","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0"
"D4","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0"
"IC3","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC4","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC5","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC6","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC1","LIC525","COM","","","","","","","","","","","",""
"IC2","LIC525","COM","","","","","","","","","","","",""
"IC11_M1","LIC546","","","","","","","","","","","","",""
"IC11_M2","LIC546","","","","","","","","","","","","",""
"IC11_M3","LIC546","","","","","","","","","","","","",""
"IC11_M4","LIC546","","","","","","","","","","","","",""
"IC12_M1","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0"
"IC12_M2","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0"
"IC12_M3","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0"
"IC12_M4","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0"
"R17","LRE026","COM","","0","0","50","-20","27","0","0","0","","",""
"R18","LRE026","COM","","0","0","50","-20","27","0","0","0","","",""
"R19","LRE026","COM","","0","0","50","-20","27","0","0","0","","",""
"R20","LRE026","COM","","0","0","50","-20","27","0","0","0","","",""
"R14_M1","LRE140","COM","","0","0","50","-20","27","0","0","0","","",""
"R14_M2","LRE140","COM","","0","0","50","-20","27","0","0","0","","",""
"R14_M3","LRE140","COM","","0","0","50","-20","27","0","0","0","","",""
"R14_M4","LRE140","COM","","0","0","50","-20","27","0","0","0","","",""
"R13_M1","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","",""
"R13_M2","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","",""
"R13_M3","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","",""
"R13_M4","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","",""
