Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"CN3","","COM","","","","50","-20","27","16","0","12","0","0","0",""
"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C4","LCA016","CH1","PSU B INPUT FILTER","","","50","-20","27","24","0","12","","","",""
"C5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C7","LCA016","CH1","PSU B OUT FILTER","","","50","-20","27","5","0","5","","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CT1","LCA039","CH1","PSU B OUT FILTER","","","50","-20","27","5","0","5","","","",""
"CN1","LCN057","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN2","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"Q1","LIC005","COM","","0","0","50","-20","27","3.3","0","3.3","","","","0"
"IC3","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC2","LIC233","COM","","","","50","-20","27","0","0","0","","","",""
"D1","LIC345","CH1","PSU B INPUT DIODE","","","50","-20","27","24","0","12","0","0","0",""
"IC1","LIC588","","","","","","","","","","","","","",""
"R2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R1","LRE212","COM","","0","0","50","-20","27","0","0","0","","","",""
