Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C8","LCA019","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C3","LCA070","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C4","LCA070","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C5","LCA070","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CN1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN3","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN4","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN5","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN6","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN2","LCN318","COM","","","","50","-20","27","16","0","12","0","0","0",""
"D2","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D1","LIC010","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC4","LIC016","COM","","","","50","-20","27","","","","","","",""
"Q1","LIC215","COM","","","","50","-20","27","","","","","","",""
"Q2","LIC215","COM","","","","50","-20","27","","","","","","",""
"IC6","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC3","LIC572","","","","","","","","","","","","","",""
"IC1","LIC573","","","","","","","","","","","","","",""
"IC2","LIC573","","","","","","","","","","","","","",""
"IC5","LIC594","COM","","","","50","-20","27","","","","","","",""
"R10","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R7","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R8","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R9","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R6","LRE037","COM","","0","0","50","-20","27","0","0","0","","","",""
"R5","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"RLY2","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1","LSW043","COM","","","","50","-20","27","","","","","","",""
