Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP

"CN3","","","","","","","","","","","","","",""
"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C10","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C12","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C13","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CT1","LCA039","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CT2","LCA039","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CT3","LCA039","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CE1","LCA071","COM","","","","50","-20","27","0","0","0","","",""
"CE2","LCA071","COM","","","","50","-20","27","0","0","0","","",""
"CE3","LCA071","COM","","","","50","-20","27","0","0","0","","",""
"CE4","LCA071","COM","","","","50","-20","27","0","0","0","","",""
"CE5","LCA071","COM","","","","50","-20","27","0","0","0","","",""
"CE6","LCA071","COM","","","","50","-20","27","0","0","0","","",""
"C5","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C8","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CN4","LCN041","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN6","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN8","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN1","LCN309","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN2","LCN309","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN5","LCN311","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN7","LCN311","COM","","","","50","-20","27","16","0","12","0","0","0"
"IC10","LIC016","COM","","","","50","-20","27","","","","","",""
"IC11","LIC016","COM","","","","50","-20","27","","","","","",""
"IC12","LIC016","COM","","","","50","-20","27","","","","","",""
"IC3","LIC016","COM","","","","50","-20","27","","","","","",""
"IC5","LIC016","COM","","","","50","-20","27","","","","","",""
"IC6","LIC016","COM","","","","50","-20","27","","","","","",""
"IC9","LIC016","COM","","","","50","-20","27","","","","","",""
"D1","LIC189","COM","","","","50","-20","27","0","0","0","0","0","0"
"D2","LIC189","COM","","","","50","-20","27","0","0","0","0","0","0"
"IC4","LIC233","COM","","","","50","-20","27","0","0","0","","",""
"IC13","LIC294","COM","","","","50","-20","27","0","0","0","","",""
"IC1","LIC522","COM","","","","50","-20","27","0","0","0","","",""
"IC7","LIC556","","","","","","","","","","","","",""
"IC8","LIC557","","","","","","","","","","","","",""
"IC2","LIC558","","","","","","","","","","","","",""
"PW1","LPW025","","","","","","","","","","","","",""
"R10","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R11","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R12","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R13","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R14","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R15","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R16","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R17","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R18","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R19","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R20","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R21","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R22","LRE027","COM","","0","0","50","-20","27","0","0","0","","",""
"R2","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R3","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R4","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R5","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R6","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R7","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R8","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R9","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1","LRE077","COM","","0","0","50","-20","27","0","0","0","","",""
