Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C10","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C14","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C12","LCA113","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C13","LCA114","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CN1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN2","LCN318","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN3","LCN319","COM","","","","50","-20","27","16","0","12","0","0","0",""
"IC4","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC5","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC6","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC7","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC8","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC9","LIC016","COM","","","","50","-20","27","","","","","","",""
"Q1","LIC163","COM","","","","50","-20","27","","","","","","",""
"Q2","LIC163","COM","","","","50","-20","27","","","","","","",""
"Q3","LIC163","COM","","","","50","-20","27","","","","","","",""
"Q4","LIC163","COM","","","","50","-20","27","","","","","","",""
"Q5","LIC163","COM","","","","50","-20","27","","","","","","",""
"Q6","LIC163","COM","","","","50","-20","27","","","","","","",""
"Q7","LIC241","COM","","0","0","50","-20","27","3.3","0","3.3","","","","0"
"IC10","LIC408","COM","","","","50","-20","27","","","","","","",""
"IC3","LIC563","","","","","","","","","","","","","",""
"IC2","LIC566","COM","","","","85","-40","27","3.6","0.8","0","","","",""
"IC1","LIC578","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"R3","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
