Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP

"CN1","LCN305","COM","","50","-20","27","16","0","12","0","0","0"
"IC1","LIC551","","","","","","","","","","",""
"IC10","LIC551","","","","","","","","","","",""
"IC11","LIC551","","","","","","","","","","",""
"IC12","LIC551","","","","","","","","","","",""
"IC13","LIC551","","","","","","","","","","",""
"IC14","LIC551","","","","","","","","","","",""
"IC15","LIC551","","","","","","","","","","",""
"IC2","LIC551","","","","","","","","","","",""
"IC3","LIC551","","","","","","","","","","",""
"IC4","LIC551","","","","","","","","","","",""
"IC5","LIC551","","","","","","","","","","",""
"IC6","LIC551","","","","","","","","","","",""
"IC7","LIC551","","","","","","","","","","",""
"IC8","LIC551","","","","","","","","","","",""
"IC9","LIC551","","","","","","","","","","",""
"BT1","LPW024","","","","","","","","","","",""
"BT2","LPW024","","","","","","","","","","",""
"BT3","LPW024","","","","","","","","","","",""
"BT4","LPW024","","","","","","","","","","",""
"BT5","LPW024","","","","","","","","","","",""
"BT6","LPW024","","","","","","","","","","",""
