Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CN20","LCN041","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN1","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN12","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN14","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN3","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN5","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN7","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN9","LCN080","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN25","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN10","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN11","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN13","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN15","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN16","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN17","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN18","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN19","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN2","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN21","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN22","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN23","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN24","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN4","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN6","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN8","LCN315","COM","","","","50","-20","27","16","0","12","0","0","0",""
"D2","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D1","LIC010","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC1","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC2","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC3","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC4","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC6","LIC579","COM","","","","50","-20","27","","","","","","",""
"IC7","LIC579","COM","","","","50","-20","27","","","","","","",""
"IC5","LIC580","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"PW1","LPW027","","","","","","","","","","","","","",""
"R7","LRE013","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R4","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R6","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R1","LRE107","COM","","0","0","50","-20","27","0","0","0","","","",""
"R2","LRE107","COM","","0","0","50","-20","27","0","0","0","","","",""
"R5","LRE133","COM","","0","0","50","-20","27","0","0","0","","","",""
"RLY2","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1","LSW043","COM","","","","50","-20","27","","","","","","",""
