Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP

"C1_TC1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC10","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC12","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC13","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC14","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC15","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC16","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C1_TC9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CN1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN2","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN3","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN4","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN5","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"IC2","LIC289","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC1_TC1","LIC467","","","","","","","","","","","","",""
"IC1_TC10","LIC467","","","","","","","","","","","","",""
"IC1_TC11","LIC467","","","","","","","","","","","","",""
"IC1_TC12","LIC467","","","","","","","","","","","","",""
"IC1_TC13","LIC467","","","","","","","","","","","","",""
"IC1_TC14","LIC467","","","","","","","","","","","","",""
"IC1_TC15","LIC467","","","","","","","","","","","","",""
"IC1_TC16","LIC467","","","","","","","","","","","","",""
"IC1_TC2","LIC467","","","","","","","","","","","","",""
"IC1_TC3","LIC467","","","","","","","","","","","","",""
"IC1_TC4","LIC467","","","","","","","","","","","","",""
"IC1_TC5","LIC467","","","","","","","","","","","","",""
"IC1_TC6","LIC467","","","","","","","","","","","","",""
"IC1_TC7","LIC467","","","","","","","","","","","","",""
"IC1_TC8","LIC467","","","","","","","","","","","","",""
"IC1_TC9","LIC467","","","","","","","","","","","","",""
"R1_TC1","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC10","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC11","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC12","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC13","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC14","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC15","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC16","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC2","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC3","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC4","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC5","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC6","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC7","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC8","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R1_TC9","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R2","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
