Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C10","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C12","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C13","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C15","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C16","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C18","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C19","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C20","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C21","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C22","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C23","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C24","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C25","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C8","LCA019","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CT1","LCA039","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CT2","LCA039","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CT3","LCA039","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C3","LCA070","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C4","LCA070","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C5","LCA070","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CE1","LCA071","COM","","","","50","-20","27","0","0","0","","","",""
"CE2","LCA071","COM","","","","50","-20","27","0","0","0","","","",""
"CE3","LCA071","COM","","","","50","-20","27","0","0","0","","","",""
"CE4","LCA071","COM","","","","50","-20","27","0","0","0","","","",""
"CE5","LCA071","COM","","","","50","-20","27","0","0","0","","","",""
"CE6","LCA071","COM","","","","50","-20","27","0","0","0","","","",""
"C14","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
