Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"C70","LCA015","COM","ACC BUS IN FILTER","","","50","-20","27","17","0","14","","","",""
"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C100","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C101","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C102","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C103","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C104","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C105","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C107","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C108","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C109","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C11","LCA016","COM","ACCEL PSU INPUT FILTER","","","50","-20","27","3.3","0","3.3","","","",""
"C110","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C111","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C112_OGB1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C112_OGB2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C112_OGB3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C113","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C114","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C115","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C116","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C117","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C118","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C12","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C120","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C121","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C122","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C123","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C124","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C125","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C129_TH1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C129_TH2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C129_TH3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C129_TH4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C129_TH5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C129_TH6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C129_TH7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C129_TH8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C130","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C131","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C132","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C133","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C134_TH1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C134_TH2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C134_TH3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C134_TH4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C134_TH5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C134_TH6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C134_TH7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C134_TH8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C137","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C140","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C142_ML1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C142_ML2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C142_ML3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C142_ML4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C142_ML5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C142_ML6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C143","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C144","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C145","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
