Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C13","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C14","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C3","LCA070","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C4","LCA070","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CE1","LCA071","COM","","","","50","-20","27","0","0","0","","","",""
"C10","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C12","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C16","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C7","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C15","LCA144","COM","","","","85","-55","27","50","0","","","","",""
"C6","LCA144","COM","","","","85","-55","27","50","0","","","","",""
"C9","LCA144","COM","","","","85","-55","27","50","0","","","","",""
"CN3","LCN369","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN1","LCN370","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN2","LCN370","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN4","LCN370","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN5","LCN370","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN6","LCN370","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN7","LCN370","COM","","","","50","-20","27","16","0","12","0","0","0",""
"D4","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D5","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D6","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D7","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC10","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC11","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC3","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC5","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC6","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC7","LIC016","COM","","","","50","-20","27","","","","","","",""
"D3","LIC189","COM","","","","50","-20","27","0","0","0","0","0","0",""
"Q1","LIC215","COM","","","","50","-20","27","","","","","","",""
"Q2","LIC215","COM","","","","50","-20","27","","","","","","",""
"IC4","LIC233","COM","","","","50","-20","27","0","0","0","","","",""
"IC12","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC13","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC8","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC9","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC1","LIC573","","","","","","","","","","","","","",""
"IC2","LIC573","","","","","","","","","","","","","",""
"D1","LIC621","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D2","LIC621","COM","","","","50","-20","27","0","0","0","0","0","0",""
"PW1","LPW033","","","","","","","","","","","","","",""
"R11","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R4","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R10","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R5","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R6","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R7","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R8","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R9","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R1","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R2","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"RLY1","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY2","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY3","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY4","LSW020","COM","","","","50","-20","27","","","","","","",""
