Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP

"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CE1","LCA071","COM","","","","50","-20","27","0","0","0","","","",""
"C10","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C7","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C6","LCA144","COM","","","","85","-55","27","50","0","","","","",""
"C9","LCA144","COM","","","","85","-55","27","50","0","","","","",""
"CN1","LCN369","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN2","LCN369","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN3","LCN369","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN4","LCN369","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN5","LCN369","COM","","","","50","-20","27","16","0","12","0","0","0",""
"IC3","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC5","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC6","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC7","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC9","LIC016","COM","","","","50","-20","27","","","","","","",""
"D3","LIC189","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC1","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC2","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC4","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC8","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"PW1","LPW033","","","","","","","","","","","","","",""
"R1","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R2","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R6","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R9","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R10","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R4","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R5","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R7","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R8","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
