Reference, Value, Footprint, Datasheet
J1,TE_3-641119-2,rLoop_Footprints:3-641119-2_TE_2P_MTA156_HDR,
J3,Keystone_3544-2,rLoop_Footprints:Keystone_3544-2,
R1,2.2K / 0.1W / 1% / SMD 0603,Resistors_SMD:R_0603,
D3,FES10G,rLoop_Footprints:TO-277A_SMPC,
J2,TE_3-641119-2,rLoop_Footprints:3-641119-2_TE_2P_MTA156_HDR,
J4,Keystone_3544-2,rLoop_Footprints:Keystone_3544-2,
R2,2.2K / 0.1W / 1% / SMD 0603,Resistors_SMD:R_0603,
D4,FES10G,rLoop_Footprints:TO-277A_SMPC,
D2,EL-17-21VGC/TR8,rLoop_Footprints:LED_0805,
D1,EL-17-21VGC/TR8,rLoop_Footprints:LED_0805,
U2,R-745.0P,rLoop_Footprints:R-745.0P,
C2,1uF / 50V / 10% / SMD 0805,Capacitors_SMD:C_0805,
C5,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C7,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C9,1uF / 50V / 10% / SMD 0805,Capacitors_SMD:C_0805,
C10,22uF / 16V / 10% / SMD TC3528,Capacitors_Tantalum_SMD:CP_Tantalum_Case-T_EIA-3528-12_Reflow,
U1,LM1117MP-3.3/NOPB,TO_SOT_Packages_SMD:SOT-223,
C1,330uF / 35V / 20% / SMD 10x10,Capacitors_SMD:CP_Elec_10x10,
C4,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C6,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C8,22uF / 16V / 10% / SMD TC3528,Capacitors_Tantalum_SMD:CP_Tantalum_Case-T_EIA-3528-12_Reflow,
C3,330uF / 35V / 20% / SMD 10x10,Capacitors_SMD:CP_Elec_10x10,
R3,2.2K / 0.1W / 10% / SMD 0603,Resistors_SMD:R_0603,
R4,500 / 0.1W / 10% / SMD 0603,Resistors_SMD:R_0603,
R5,300 / 0.1W / 10% / SMD 0603,Resistors_SMD:R_0603,
D12,EL-17-21VGC/TR8,rLoop_Footprints:LED_0805,
D11,EL-17-21VGC/TR8,rLoop_Footprints:LED_0805,
D10,EL-17-21VGC/TR8,rLoop_Footprints:LED_0805,
J6,826926-2,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
J5,5-146130-9,rLoop_Footprints:Booster1_Header_J1_J3,
F1,2920L300/15DR - 3A IH / 5A IT,rLoop_Footprints:2920L300_15DR,
J7,5-146130-9,rLoop_Footprints:Booster1_J4_J2,
U3,DS2482S-100+T&R,SMD_Packages:SOIC-8-N,
R6,4.7K / 0.1W / 1% / SMD 0603,Resistors_SMD:R_0603,
R7,4.7K / 0.1W / 1% / SMD 0603,Resistors_SMD:R_0603,
U4,DS2482S-100+T&R,SMD_Packages:SOIC-8-N,
U5,DS2482S-100+T&R,SMD_Packages:SOIC-8-N,
U8,DS2482S-100+T&R,SMD_Packages:SOIC-8-N,
U9,DS2482S-100+T&R,SMD_Packages:SOIC-8-N,
U10,DS2482S-100+T&R,SMD_Packages:SOIC-8-N,
U11,DS2482S-100+T&R,SMD_Packages:SOIC-8-N,
R8,4.7K / 0.1W / 1% / SMD 0603,Resistors_SMD:R_0603,
R9,4.7K / 0.1W / 1% / SMD 0603,Resistors_SMD:R_0603,
Q1,BSS84,TO_SOT_Packages_SMD:SOT-23,
Q2,BSS84,TO_SOT_Packages_SMD:SOT-23,
Q3,BSS84,TO_SOT_Packages_SMD:SOT-23,
Q4,BSS84,TO_SOT_Packages_SMD:SOT-23,
Q5,BSS84,TO_SOT_Packages_SMD:SOT-23,
Q6,BSS84,TO_SOT_Packages_SMD:SOT-23,
Q7,BSS84,TO_SOT_Packages_SMD:SOT-23,
U6,TSYS01,rLoop_Footprints:QFN16_4x4,
U7,MS5607-02BA03,rLoop_Footprints:ms5607-02ba03,
C14,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C16,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C15,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C13,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C12,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C17,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C19,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C18,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C20,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
D5,SMF6.5A / SOD-123,Diodes_SMD:D_SOD-123,
J8,3-641215-3,rLoop_Footprints:3-641215-3_3Pin_Latching_Header,
U13,MAX14850AEE+,Housings_SSOP:QSOP-16_3.9x4.9mm_Pitch0.635mm,
J10,5-534998-7,Pin_Headers:Pin_Header_Straight_2x07_Pitch2.54mm,
R11,10K / .1W / 1% / SMD 0603,Resistors_SMD:R_0603,
R12,10K / .1W / 1% / SMD 0603,Resistors_SMD:R_0603,
J9,TE_3-641119-2,rLoop_Footprints:3-641119-2_TE_2P_MTA156_HDR,
R10,100 / .1W / 10% / SMD 0603,Resistors_SMD:R_0603,
C22,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C21,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
U14,MAX14850AEE+,Housings_SSOP:QSOP-16_3.9x4.9mm_Pitch0.635mm,
D6,IN4004,rLoop_Footprints:D_DO-201_P15.24mm_Horizontal,
U12,NCV8405ADTRKG,TO_SOT_Packages_SMD:SOT-223,
J11,CONN_01X04,rLoop_Footprints:22-04-1041_Molex_4_Pin_Header_2.50mm,
R20,2K / .1 W / 1% / SMD 0603,Resistors_SMD:R_0603,
R21,10K / .1 W / 1% / SMD 0603,Resistors_SMD:R_0603,
C23,200 nF / 50V / SMD 0603,Capacitors_SMD:C_0603,
R17,2K / .1 W / 1% / SMD 0603,Resistors_SMD:R_0603,
R22,10K / .1 W / 1% / SMD 0603,Resistors_SMD:R_0603,
C24,200 nF / 50V / SMD 0603,Capacitors_SMD:C_0603,
J12,CONN_01X04,rLoop_Footprints:22-04-1041_Molex_4_Pin_Header_2.50mm,
R18,2K / .1 W / 1% / SMD 0603,Resistors_SMD:R_0603,
R23,10K / .1 W / 1% / SMD 0603,Resistors_SMD:R_0603,
C25,200 nF / 50V / SMD 0603,Capacitors_SMD:C_0603,
R19,2K / .1 W / 1% / SMD 0603,Resistors_SMD:R_0603,
R24,10K / .1 W / 1% / SMD 0603,Resistors_SMD:R_0603,
C26,200 nF / 50V / SMD 0603,Capacitors_SMD:C_0603,
D7,BAS16,Diodes_SMD:D_SOT-23_ANK,
U20,RTE24024,rLoop_Footprints:RTE24024,
U19,NUD3124LT1G,TO_SOT_Packages_SMD:SOT-23,
R29,50 / .1 W / 10% / SMD 0603,Resistors_SMD:R_0603,
J15,TE_3-641119-2,rLoop_Footprints:3-641119-2_TE_2P_MTA156_HDR,
D9,1N4004,rLoop_Footprints:D_DO-201_P15.24mm_Horizontal,
R32,4.7k / .1 W / 10% / SMD 0603,Resistors_SMD:R_0603,
U15,TL783CKTTR,rLoop_Footprints:tl783ckttr,
U16,TL783CKTTR,rLoop_Footprints:tl783ckttr,
U18,AMC1100DWV,rLoop_Footprints:amc1100_SOIC8,
R25,82R0 / 0.25W / 1% / SMD 0805,Resistors_SMD:R_0805,
R26,220R / 0.25W / 1% / SMD 0805,Resistors_SMD:R_0805,
R13,300K / 0.5W / 1% / SMD 1206,Resistors_SMD:R_1206,
R14,1K / 0.75W / 5% / 400V / SMD 2010,Resistors_SMD:R_2010,
R31,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R27,82R0 / 0.25W / 1% / SMD 0805,Resistors_SMD:R_0805,
R28,220R / 0.25W / 1% / SMD 0805,Resistors_SMD:R_0805,
R30,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R15,300K / 0.5W / 1% / SMD 1206,Resistors_SMD:R_1206,
R16,1K / 0.75W / 5% / 400V / SMD 2010,Resistors_SMD:R_2010,
C28,100nF / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C27,100nF / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C29,100nF / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
U17,AMC1100DWV,rLoop_Footprints:amc1100_SOIC8,
C30,100nF / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
J14,TE_3-641119-2,rLoop_Footprints:3-641119-2_TE_2P_MTA156_HDR,
J13,TE_3-641119-2,rLoop_Footprints:3-641119-2_TE_2P_MTA156_HDR,
D8,EL-17-21VGC/TR8,rLoop_Footprints:LED_0805,
J16,3-641215-3,rLoop_Footprints:3-641215-3_3Pin_Latching_Header,
J17,3-641215-3,rLoop_Footprints:3-641215-3_3Pin_Latching_Header,
J18,3-641215-3,rLoop_Footprints:3-641215-3_3Pin_Latching_Header,
J19,3-641215-3,rLoop_Footprints:3-641215-3_3Pin_Latching_Header,
J20,3-641215-3,rLoop_Footprints:3-641215-3_3Pin_Latching_Header,
J21,3-641215-3,rLoop_Footprints:3-641215-3_3Pin_Latching_Header,
U22,RTE24024,rLoop_Footprints:RTE24024,
D14,EL-17-21VGC/TR8,rLoop_Footprints:LED_0805,
D15,1N4004,rLoop_Footprints:1N4004,
R34,4.7k / .1W / 10% / SMD 0603,Resistors_SMD:R_0603,
P1,TE_3-641119-2,rLoop_Footprints:3-641119-2_TE_2P_MTA156_HDR,
D13,BAS16,Diodes_SMD:D_SOT-23_ANK,
R33,50 / .1 W / 10% / SMD 0603,Resistors_SMD:R_0603,
U21,NUD3124LT1G,TO_SOT_Packages_SMD:SOT-23,
