Reference, Value, Footprint, Datasheet
"R3","10R / 0.125W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"R4","10R / 0.125W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"R95","10R / 0.125W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"R2","47R / .1W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"R1","47R / .1 W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"C1","100n / 50V / 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C2","100n / 50V / 10% / SMD 0603","Capacitors_SMD:C_0603",""
"J1","1241050-7","rLoop_Footprints:Pin_Header_Straight_2x07_Pitch2.54mm_SMD_MIRROR",""
"R6","270R / 0.1W / 5% / SMD 0603","Resistors_SMD:R_0603",""
"R7","2.2K / 0.1W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"R5","1k","Resistors_SMD:R_0603",""
"U1","VOS618A-2X001T","Housings_DIP:DIP-4_W7.62mm",""
"Q1","FDN337N","TO_SOT_Packages_SMD:SOT-23",""
"JP1","Debug Jumper","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"C8","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C9","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C10","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C11","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C12","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C13","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"R9","121K / 0.1W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"R11","10K / .1 W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"TH2","NTCS0603E3103JLT","Resistors_SMD:R_0603",""
"TH1","NTCS0603E3103JLT","Resistors_SMD:R_0603",""
"R10","10K / .1 W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"C15","100n","Capacitors_SMD:C_0603",""
"C14","100n","Capacitors_SMD:C_0603",""
"R8","10","Resistors_SMD:R_0603",""
"C7","100nF / 50V / 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C4","10uF / 25V / 20% / SMD 1206","Capacitors_SMD:C_1206",""
"C6","100n / 50V / 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C5","100nF / 50V / 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C3","10uF / 25V / 20% / SMD 1206","Capacitors_SMD:C_1206",""
"C21","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C22","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C23","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C24","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C25","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C26","100 nF / 50V/ 10% / SMD 0603","Capacitors_SMD:C_0603",""
"R13","121K / 0.1W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"R15","10K / .1 W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"TH4","NTCS0603E3103JLT","Resistors_SMD:R_0603",""
"TH3","NTCS0603E3103JLT","Resistors_SMD:R_0603",""
"R14","10K / .1 W / 1% / SMD 0603","Resistors_SMD:R_0603",""
"C28","100n","Capacitors_SMD:C_0603",""
"C27","100n","Capacitors_SMD:C_0603",""
"R12","10","Resistors_SMD:R_0603",""
"C20","100nF / 50V / 10% / SMD 0603","Capacitors_SMD:C_0603",""
"C17","10uF / 25V / 20% / SMD 1206","Capacitors_SMD:C_1206",""
"C19","100n / 50V / 10% / SMD 0603","Capacitors_SMD:C_0603",""
