Reference, Value, Footprint, Datasheet
J1,1241050-7,rLoop_Footprints:Pin_Header_Straight_2x07_Pitch2.54mm_SMD_MIRROR,
J3,TE 3-641215-3,rLoop_Footprints:3-641215-3_3Pin_Latching_Header,
J2,1-640445-0,rLoop_Footprints:1-640445-0,
J4,1-640445-0,rLoop_Footprints:1-640445-0,
C34,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C35,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C36,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C37,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C38,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C39,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C32,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
R1,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
C1,2.2 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C2,.1 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
R3,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R4,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R2,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
C43,2.2 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C44,.1 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
R107,100K0 / 0.063W / 5% / SMD 0603,Resistors_SMD:R_0603,
C53,10 uF / 10V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C56,2.2uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
R110,100K0 / 0.063W / 5% / SMD 0603,Resistors_SMD:R_0603,
C59,.047 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
R115,1.82k / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R114,1.47k / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R113,1.82k / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R112,1.47k / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
C58,.047 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C68,33 pF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C67,33 pF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C69,33 pF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C66,3.3 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C8,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C9,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C10,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C11,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C12,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C13,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C4,.1 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C3,2.2 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
R9,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R10,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R11,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R12,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R5,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R6,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R7,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
R8,1K0 / 0.063W / 1% / SMD 0603,Resistors_SMD:R_0603,
C45,2.2 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C46,.1 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
R108,100K0 / 0.063W / 5% / SMD 0603,Resistors_SMD:R_0603,
C55,100n / 50V / 10% / SMD 0603,Capacitors_SMD:C_0603,
C54,10 uF / 10V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C57,2.2uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
R111,100K0 / 0.063W / 5% / SMD 0603,Resistors_SMD:R_0603,
C61,.047 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
R119,1.82k / 0.063W / 1% / SMD0603,Resistors_SMD:R_0603,
R118,1.82k / 0.063W / 1% / SMD0603,Resistors_SMD:R_0603,
R117,1.82k / 0.063W / 1% / SMD0603,Resistors_SMD:R_0603,
R116,1.82k / 0.063W / 1% / SMD0603,Resistors_SMD:R_0603,
C60,.047 uF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C71,33 pF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C72,33 pF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C73,33 pF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C74,33 pF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C75,33 pF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C70,3.3 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C21,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
C22,100 nF / 50V/ 10% / SMD 0603,Capacitors_SMD:C_0603,
